Variety	TokenID	TextID	LineID	SpeakerID	Corpus	Genre	GenreCode	Register	Mode	WholeConstructionPlain	Verb	Particle	VerbPart	VerbForm	DirObjPlain	DirObjHeadPlain	Response	DirObjWordLength	DirObjLettLength	DirObjExprType	DirObjDefiniteness	DirObjGivenness	DirObjConcreteness	Semantics	DirObjThematicity	DirectionalPP	PrimeType	VerbFreq	PartFreq	VerbPartFreq	DeltaP.cueV	DeltaP.cueP	PMI	t.score	DICE	LogLikR	Surprisal.P	Surprisal.V	PartOnset	CValternation	CValternation2	CV.binary	JoinedDist	SplitDist	StressClash	Rhythm
CA	PART1	CAN:W2E-010:1	CAN:W2E-010:1:28	CAN:W2E-010:1:28	ICE	PersuasiveWrit	k	writ.informal	written	turn over control	turn	over	turn over	turn	control	control	Continuous	1	7	nc	indef	new	Nonconcrete	non-compositional	1.950268162	yes	none	318	1131	7	0.020888221	0.005877861	4.282657322	2.509813365	0.009661836	28.45739728	5.505528033	7.336028292	V	CV	CV.VC	other	0	1	yes	1
CA	PART10	CAN:W2E-008:4	CAN:W2E-008:4:86	CAN:W2E-008:4:86	ICE	PersuasiveWrit	k	writ.informal	written	turn off lights	turn	off	turn off	turn	lights	light	Continuous	1	6	nc	indef	given	Nonconcrete	compositional	1.93986421	no	none	318	788	8	0.024376985	0.00984204	4.996633795	2.739832302	0.014466546	40.18270728	5.312882955	6.622051819	V	CV	CV.VC	other	0	0	yes	0
CA	PART100	CAN:S1A-073:2	CAN:S1A-073:2:152	CAN:S1A-073:2:152:A	ICE	PrivateDia	a	spok.informal	spoken	taking off my lapel pin	take	off	take off	taking	my lapel pin	pin	Continuous	3	10	nc	def	new	Concrete	compositional	0.887311446	no	none	1798	788	25	0.013139964	0.02995149	4.141195634	4.7166352	0.01933488	97.38228206	6.168321116	4.97819563	V	CV	CV.VC	other	1	1	no	0
IE	PART10000	IRE:S1B-080:1	IRE:S1B-080:27	IRE:S1B-080:27	ICE	PublicDia	b	spok.formal	spoken	open up the channel of communication	open	up	open up	open	the channel of communication	channel	Continuous	4	25	nc	def	new	Nonconcrete	non-compositional	0.900900901	no	none	204	2548	27	0.129831427	0.010419094	5.698881167	5.096118406	0.019622093	164.2314097	2.91753784	6.56026206	V	CV	CV.VC	other	1	2	no	1
IE	PART10001	IRE:S2A-035:1	IRE:S2A-035:37	IRE:S2A-035:2	ICE	UnscriptMono	c	spok.informal	spoken	takes over the control of those	take	over	take over	takes	the control of those	control	Continuous	4	17	nc	def	new	Nonconcrete	non-compositional	1.762114537	no	none	1718	1287	26	0.013870706	0.01850784	3.555697628	4.665393795	0.017304493	81.35761026	6.046074603	5.62935662	V	CV	CV.VC	other	0	2	yes	2
IE	PART10002	IRE:W2A-007:1	IRE:W2A-007:108	IRE:W2A-007:108	ICE	AcademicWrit	g	writ.formal	written	pointing out the dangers of pregnancy	point	out	point out	pointing	the dangers of pregnancy	danger	Continuous	4	21	nc	def	new	Nonconcrete	non-compositional	0.705965408	no	Continuous	157	2635	70	0.44329447	0.026478235	7.402643591	8.317154255	0.050143266	617.956563	1.165337732	5.23430423	V	CV	CV.VC	other	1	2	no	1
IE	PART10003	IRE:W2C-014:1	IRE:W2C-014:9	IRE:W2C-014:9	ICE	Reportage	i	writ.informal	written	summed up the feelings of townspeople	sum	up	sum up	summed	the feelings of townspeople	feeling	Continuous	4	24	nc	def	new	Nonconcrete	non-compositional	0.946073794	no	none	7	2548	6	0.854600839	0.002353786	8.394026586	2.442208226	0.004696673	65.94692438	0.222392421	8.730187062	V	CV	CV.VC	other	0	1	yes	1
IE	PART10004	IRE:S1B-012:1	IRE:S1B-012:2	IRE:S1B-012:2	ICE	PublicDia	b	spok.formal	spoken	sent in the four thousand bricks	send	in	send in	sent	the four thousand bricks	brick	Continuous	4	21	nc	def	given	Concrete	compositional	2.037697402	no	Discontinuous	231	19098	9	0.019867628	0.000244931	1.028610587	1.529454	0.000931243	3.751560546	4.68182404	11.05120894	V	CV	CV.VC	other	0	1	yes	1
IE	PART10005	IRE:W2B-032:1	IRE:W2B-032:9	IRE:W2B-032:9	ICE	PopularWrit	h	writ.formal	written	show the ISDN phones lines off	show	off	show off	show	the ISDN phones lines	line	Discontinuous	4	18	nc	def	new	Concrete	non-compositional	6.782945736	no	none	436	766	3	0.006117401	0.003483117	3.167146163	1.539229674	0.004991681	7.865391424	7.183221824	7.996238081	V	VV	VV	other	0	1	yes	1
IE	PART10006	IRE:S2A-040:1	IRE:S2A-040:2	IRE:S2A-040:2	ICE	UnscriptMono	c	spok.informal	spoken	take up the last two sessions	take	up	take up	take	the last two sessions	session	Continuous	4	18	nc	def	new	Nonconcrete	non-compositional	0.990589401	no	Continuous	1718	2548	44	0.023102867	0.01559017	3.329336305	5.973322052	0.020628223	125.3796093	5.287082703	5.855717944	V	CV	CV.VC	other	0	1	yes	1
IE	PART10007	IRE:S2A-057:1	IRE:S2A-057:2	IRE:S2A-057:2	ICE	UnscriptMono	c	spok.informal	spoken	Lift out the little salmon mousse	lift	out	lift out	Lift	the little salmon mousse	mousse	Continuous	4	21	nc	def	new	Concrete	compositional	6.714628297	no	Continuous	61	2635	1	0.013759282	0.000319348	2.637243985	0.839265	0.00074184	1.989365621	5.930737338	11.36358725	V	CV	CV.VC	other	0	1	yes	1
IE	PART10008	IRE:W2D-006:1	IRE:W2D-006:67	IRE:W2D-006:67	ICE	InstructWrit	j	writ.formal	written	set out the Minister s thinking	set	out	set out	set	the Minister s thinking	thinking	Continuous	4	20	nc	def	new	Nonconcrete	non-compositional	3.877847794	no	none	403	2635	75	0.183543186	0.028134132	6.142163985	8.53763581	0.049374589	507.359652	2.425817338	5.134768556	V	CV	CV.VC	other	0	1	yes	1
IE	PART10009	IRE:S2A-024:1	IRE:S2A-024:2	IRE:S2A-024:2	ICE	UnscriptMono	c	spok.informal	spoken	bring up the panel of fives	bring	up	bring up	bring	the panel of fives	panel	Continuous	4	15	nc	def	new	Nonconcrete	non-compositional	2.830188679	yes	Discontinuous	501	2548	15	0.02740585	0.005399729	3.554642809	3.54338007	0.009839292	46.9244613	5.061776198	7.408258967	V	CV	CV.VC	other	0	1	yes	1
IE	PART10010	IRE:S1A-050:1	IRE:S1A-050:199	IRE:S1A-050:199	ICE	PrivateDia	a	spok.informal	spoken	brought the </[> </{> poiti/n up	bring	up	bring up	brought	the poiti/n	point	Discontinuous	2	9	nc	def	new	Nonconcrete	non-compositional	0.91954023	yes	none	501	2548	15	0.02740585	0.005399729	3.554642809	3.54338007	0.009839292	46.9244613	5.061776198	7.408258967	V	CV	CV.VC	other	0	1	yes	1
