Token.ID	Corpus	Text.ID	Genre	Comments	Type	Semantic.Relation	Whole.Genitive	Whole.Sentence	Possessor	Possessor.Head	Possessor.Expression.Type	Final.Sibilant	Possessum	Possessum.Head	Possessor.Animacy	Possessum.Animacy	Possessor.Givenness	Possessor.Word.Count	Possessum.Word.Count	Possessor.Syl.Count	Possessum.Syl.Count	Prior.Genitive	Possessor.Animacy.Bin	Possessum.Animacy.Bin	Semantic.Relation.Bin	TypeTokenRatio	PossessorFreq	PossessumFreq	PossessorTextFreq	PossessumTextFreq	PossessorLogTFreq	PossessumLogTFreq	Prior.Genitive.Bin	Genre.Bin
1	Frown	A01	Press		of	OTH	veto defeat of his presidency	WASHINGTON - Despite intense White House lobbying , Congress has voted to override the veto of a cable television regulation bill , dealing President Bush the first veto defeat of his presidency just four weeks before the election .	his presidency	presidency	CommonN	N	veto defeat	defeat	inanimate abstract	inanimate abstract	n	2	2	2	2	n	Inanim	Inanim	N	81	1	2	5e-4	0.001	-3.301029996	-3	N	Press
2	Frown	A01	Press		s	OTH	Bush's prestige	Not one senator changed sides , a blow to Bush 's prestige after he had heavily lobbied Republican senators , urging them not to embarrass him this close to the election .	Bush	Bush	ProperN	N	prestige	prestige	human	inanimate abstract	g	1	1	1	1	of	Anim	Inanim	N	75	28	1	0.014	0.0005	-1.853871964	-3.301029996	N	Press
3	Frown	A01	Press		s	OTH	Bush's string of successful vetoes	A cheer went up as the House vote was tallied , ending Bush 's string of successful vetoes at 35 .	Bush	Bush	ProperN	N	string of successful vetoes	string	human	inanimate concrete	g	1	1	1	4	s	Anim	Inanim	N	74	28	1	0.014	0.0005	-1.853871964	-3.301029996	Y	Press
4	Frown	A01	Press		s	OTH	Bush's side	Some of the targeted senators had indicated they would switch and support Bush , but when it became apparent the president would lose , not one changed his vote - including Senate Minority Whip Alan Simpson of Wyoming , who had tried to sway other senators to Bush 's side .	Bush	Bush	ProperN	N	side	side	human	inanimate concrete	g	1	1	1	1	s	Anim	Inanim	N	74	28	2	0.014	0.001	-1.853871964	-3	Y	Press
5	Frown	A01	Press		of	OTH	the politics of the issue	But the politics of the issue were visible .	the issue	issue	CommonN	N	the politics	politics	inanimate abstract	inanimate abstract	n	2	2	2	2	s	Inanim	Inanim	N	72	1	2	5e-4	0.001	-3.301029996	-3	Y	Press
6	Frown	A01	Press		of	OTH	members of his own party	As an example , Democratic leaders in the Senate allowed Republicans to control the debate for and against the bill , a highly unusual move and an apparent effort to show Bush at odds with members of his own party .	his own party	party	CommonN	N	members	members	collective human	human	n	3	3	3	1	of	Inanim	Anim	N	74	1	1	5e-4	0.0005	-3.301029996	-3.301029996	N	Press
7	Frown	A01	Press		s	OTH	the president's veto	`` I urge my colleagues to sustain the president 's veto .	the president	president	CommonN	N	veto	veto	human	inanimate abstract	n	2	2	2	1	of	Anim	Inanim	N	77	19	11	0.0095	0.0055	-2.022276395	-2.259637311	N	Press
8	Frown	A01	Press		s	KIN	Clinton's mother	One of the callers was Clinton 's mother , Virginia Kelley .	Clinton	Clinton	ProperN	N	mother	mother	human	human	g	1	1	1	1	s	Anim	Anim	Y	74	24	1	0.012	0.0005	-1.920818754	-3.301029996	Y	Press
9	Frown	A01	Press		s	OTH	Bush's military service	And he disputed the president 's assertion , made in Florida over the weekend , that Bush 's military service made him more qualified to be commander-in-chief .	Bush	Bush	ProperN	N	military service	service	human	inanimate abstract	n	1	1	1	2	s	Anim	Inanim	N	77	28	4	0.014	0.002	-1.853871964	-2.698970004	Y	Press
10	Frown	A01	Press		s	OTH	the president's assertion	And he disputed the president 's assertion , made in Florida over the weekend , that Bush 's military service made him more qualified to be commander-in-chief .	the president	president	CommonN	N	assertion	assertion	human	inanimate abstract	g	2	2	2	1	s	Anim	Inanim	N	77	19	1	0.0095	0.0005	-2.022276395	-3.301029996	Y	Press
